date,average,trend,averageUnc,trendUnc
1983.7,1625.9,1635.4,2.3,1.5
1983.8,1628.1,1635.9,2.9,1.4
1983.9,1638.4,1636.4,2.3,1.3
1983.10,1644.8,1636.9,1.4,1.2
1983.11,1642.6,1637.5,0.8,1.2
1983.12,1639.5,1638.2,1.0,1.1
1984.1,1638.7,1639.0,1.9,1.0
1984.2,1638.8,1639.9,2.1,0.9
1984.3,1640.7,1640.8,1.5,0.8
1984.4,1643.7,1641.8,1.9,0.7
1984.5,1642.9,1642.9,1.1,0.7
1984.6,1639.6,1644.1,0.8,0.7
1984.7,1637.8,1645.2,1.0,0.6
1984.8,1641.4,1646.4,1.4,0.6
1984.9,1650.4,1647.6,1.1,0.6
1984.10,1654.5,1648.7,1.4,0.6
1984.11,1653.7,1649.9,1.0,0.6
1984.12,1656.1,1651.0,1.2,0.6
1985.1,1655.6,1652.1,1.2,0.6
1985.2,1652.3,1653.1,1.5,0.6
1985.3,1654.6,1654.1,1.0,0.5
1985.4,1658.2,1655.2,0.9,0.5
1985.5,1655.9,1656.2,1.1,0.5
1985.6,1650.0,1657.2,1.1,0.5
1985.7,1646.7,1658.2,1.1,0.5
1985.8,1652.2,1659.2,1.2,0.5
1985.9,1662.5,1660.2,1.2,0.5
1985.10,1667.5,1661.2,1.1,0.6
1985.11,1666.8,1662.2,1.1,0.6
1985.12,1666.0,1663.3,1.0,0.6
1986.1,1666.2,1664.3,1.2,0.7
1986.2,1666.9,1665.3,2.0,0.7
1986.3,1669.2,1666.4,1.5,0.7
1986.4,1670.8,1667.4,1.5,0.8
1986.5,1668.5,1668.5,0.9,0.8
1986.6,1664.8,1669.6,1.3,0.8
1986.7,1662.3,1670.7,1.2,0.8
1986.8,1664.4,1671.8,1.6,0.8
1986.9,1672.6,1672.9,1.5,0.8
1986.10,1678.7,1674.0,1.5,0.8
1986.11,1679.0,1675.1,1.7,0.8
1986.12,1679.1,1676.2,1.2,0.8
1987.1,1679.3,1677.3,1.2,0.8
1987.2,1679.0,1678.3,1.1,0.8
1987.3,1680.1,1679.3,0.9,0.7
1987.4,1681.4,1680.4,1.0,0.7
1987.5,1681.9,1681.4,1.0,0.6
1987.6,1680.0,1682.4,0.9,0.6
1987.7,1676.0,1683.3,0.8,0.5
1987.8,1677.2,1684.3,0.9,0.5
1987.9,1685.6,1685.2,1.1,0.5
1987.10,1691.6,1686.0,1.1,0.4
1987.11,1691.2,1686.9,0.8,0.4
1987.12,1690.5,1687.7,0.9,0.4
1988.1,1691.9,1688.5,0.7,0.4
1988.2,1692.5,1689.3,0.8,0.4
1988.3,1691.2,1690.1,1.0,0.4
1988.4,1690.0,1690.9,0.9,0.4
1988.5,1689.1,1691.8,0.8,0.5
1988.6,1687.1,1692.7,1.2,0.5
1988.7,1685.9,1693.5,0.9,0.5
1988.8,1689.4,1694.5,0.9,0.6
1988.9,1696.3,1695.4,1.0,0.6
1988.10,1701.3,1696.4,1.1,0.6
1988.11,1702.9,1697.4,1.2,0.6
1988.12,1702.0,1698.4,1.0,0.6
1989.1,1700.6,1699.4,1.0,0.6
1989.2,1701.1,1700.4,1.1,0.6
1989.3,1702.5,1701.4,1.1,0.6
1989.4,1703.7,1702.4,1.0,0.6
1989.5,1703.4,1703.4,0.6,0.6
1989.6,1700.2,1704.4,0.9,0.5
1989.7,1698.2,1705.3,0.9,0.5
1989.8,1702.0,1706.2,1.0,0.5
1989.9,1707.2,1707.1,1.0,0.5
1989.10,1710.5,1708.0,1.1,0.5
1989.11,1713.1,1708.8,0.9,0.6
1989.12,1713.2,1709.6,0.9,0.6
1990.1,1712.0,1710.4,1.1,0.6
1990.2,1713.4,1711.1,1.1,0.6
1990.3,1714.3,1711.8,1.1,0.7
1990.4,1712.6,1712.4,1.1,0.7
1990.5,1710.7,1713.1,1.1,0.7
1990.6,1708.3,1713.8,0.9,0.7
1990.7,1706.4,1714.4,0.8,0.7
1990.8,1710.1,1715.1,1.2,0.7
1990.9,1717.5,1715.8,1.2,0.7
1990.10,1722.0,1716.6,0.9,0.7
1990.11,1723.5,1717.4,1.0,0.7
1990.12,1723.3,1718.2,1.0,0.6
1991.1,1721.6,1719.2,1.1,0.6
1991.2,1721.2,1720.2,1.3,0.6
1991.3,1722.1,1721.2,1.0,0.6
1991.4,1722.5,1722.4,1.0,0.6
1991.5,1722.2,1723.6,1.1,0.6
1991.6,1719.0,1724.9,1.2,0.7
1991.7,1716.1,1726.2,1.0,0.7
1991.8,1719.3,1727.5,0.9,0.7
1991.9,1726.2,1728.8,1.3,0.7
1991.10,1732.7,1730.1,1.0,0.7
1991.11,1737.5,1731.2,0.9,0.7
1991.12,1739.6,1732.3,1.1,0.7
1992.1,1738.9,1733.2,1.1,0.7
1992.2,1737.4,1734.0,1.1,0.7
1992.3,1736.9,1734.6,1.0,0.6
1992.4,1736.6,1735.1,0.6,0.6
1992.5,1735.0,1735.4,0.8,0.6
1992.6,1731.6,1735.6,1.1,0.6
1992.7,1728.9,1735.7,1.1,0.6
1992.8,1730.4,1735.7,1.0,0.5
1992.9,1734.7,1735.6,0.8,0.5
1992.10,1737.8,1735.4,0.8,0.5
1992.11,1739.3,1735.3,1.1,0.5
1992.12,1738.6,1735.2,1.0,0.5
1993.1,1735.8,1735.1,1.0,0.5
1993.2,1734.4,1735.1,1.1,0.5
1993.3,1735.5,1735.2,1.0,0.5
1993.4,1736.7,1735.3,0.9,0.5
1993.5,1735.0,1735.5,0.8,0.5
1993.6,1730.8,1735.8,0.8,0.5
1993.7,1728.0,1736.2,0.9,0.5
1993.8,1731.2,1736.6,0.9,0.5
1993.9,1738.5,1737.1,1.0,0.6
1993.10,1743.3,1737.6,1.0,0.6
1993.11,1745.2,1738.1,0.8,0.6
1993.12,1744.3,1738.7,0.9,0.6
1994.1,1741.4,1739.3,1.0,0.6
1994.2,1740.9,1739.8,1.2,0.6
1994.3,1741.9,1740.4,1.0,0.6
1994.4,1741.9,1741.0,0.7,0.6
1994.5,1740.7,1741.6,1.0,0.6
1994.6,1736.9,1742.2,1.3,0.6
1994.7,1732.4,1742.9,1.1,0.6
1994.8,1734.1,1743.5,1.1,0.6
1994.9,1742.9,1744.1,0.8,0.6
1994.10,1749.8,1744.7,0.7,0.6
1994.11,1751.3,1745.3,0.9,0.6
1994.12,1751.5,1745.9,0.9,0.6
1995.1,1751.0,1746.5,1.0,0.6
1995.2,1749.4,1747.0,1.0,0.6
1995.3,1748.9,1747.5,0.7,0.6
1995.4,1749.5,1747.9,0.7,0.6
1995.5,1747.7,1748.3,1.1,0.5
1995.6,1742.8,1748.7,1.0,0.5
1995.7,1740.1,1749.0,0.8,0.5
1995.8,1743.5,1749.2,1.2,0.5
1995.9,1749.7,1749.5,1.3,0.5
1995.10,1754.2,1749.7,0.9,0.5
